signal_id,signal_sanasi,eskalatsiya
SG_000251,2025-09-06,0
SG_000252,2026-05-12,0
SG_000254,2026-07-27,0
SG_000255,2026-05-27,0
SG_000256,2026-04-18,1
SG_000257,2026-03-10,0
SG_000258,2026-07-13,0
SG_000259,2025-09-14,1
SG_000260,2025-11-21,0
SG_000261,2026-06-28,0
SG_000263,2025-03-13,1
SG_000264,2025-11-23,0
SG_000265,2026-10-16,0
SG_000266,2025-09-01,0
SG_000267,2025-09-06,0
SG_000268,2025-12-03,0
SG_000272,2025-04-06,0
SG_000273,2025-09-27,0
SG_000274,2025-11-07,0
SG_000275,2026-06-22,1
SG_000276,2026-03-21,0
SG_000277,2026-11-13,0
SG_000278,2026-05-11,0
SG_000279,2026-05-23,0
SG_000280,2026-04-11,0
SG_000281,2026-03-31,0
SG_000282,2026-02-28,0
SG_000283,2026-09-21,1
SG_000285,2025-10-05,0
SG_000288,2026-01-18,0
SG_000289,2026-10-10,0
SG_000292,2026-08-27,0
SG_000293,2025-11-22,0
SG_000294,2025-11-10,0
SG_000295,2025-05-07,0
SG_000296,2026-05-10,0
SG_000297,2026-06-11,0
SG_000298,2026-12-31,0
SG_000299,2025-12-31,0
SG_000300,2026-10-28,1
SG_000303,2025-05-31,0
SG_000305,2026-03-11,0
SG_000307,2025-02-13,0
SG_000308,2026-06-16,0
SG_000310,2026-04-20,1
SG_000311,2026-08-19,0
SG_000312,2026-01-30,0
SG_000313,2026-09-14,0
SG_000315,2026-05-27,0
SG_000316,2026-12-02,0
SG_000317,2026-03-01,0
SG_000318,2025-07-30,0
SG_000322,2026-02-21,1
SG_000323,2025-01-12,1
SG_000324,2025-05-28,0
SG_000326,2026-10-18,1
SG_000327,2026-05-18,0
SG_000330,2026-06-10,0
SG_000331,2026-01-17,0
SG_000332,2026-06-08,0
SG_000336,2026-05-19,1
SG_000337,2025-09-26,0
SG_000338,2025-04-18,0
SG_000340,2025-04-17,1
SG_000342,2025-07-02,0
SG_000343,2025-03-29,0
SG_000344,2026-04-19,0
SG_000346,2025-08-12,0
SG_000348,2025-06-17,0
SG_000352,2025-03-14,0
SG_000353,2025-08-06,1
SG_000354,2026-01-18,0
SG_000355,2026-06-15,0
SG_000356,2026-09-30,0
SG_000358,2026-12-16,0
SG_000359,2025-07-16,0
SG_000361,2026-01-15,0
SG_000362,2026-05-17,0
SG_000363,2026-03-18,0
SG_000364,2026-03-03,0
SG_000365,2025-02-03,1
SG_000367,2026-06-12,0
SG_000369,2025-07-12,0
SG_000371,2026-09-08,1
SG_000372,2025-06-14,0
SG_000373,2026-08-28,1
SG_000374,2026-09-20,1
SG_000375,2025-01-16,0
SG_000376,2026-01-16,0
SG_000377,2025-08-02,1
SG_000379,2026-04-20,0
SG_000380,2025-12-31,0
SG_000381,2025-05-05,0
SG_000382,2026-11-18,0
SG_000383,2026-09-09,0
SG_000384,2025-09-18,0
SG_000385,2026-03-22,0
SG_000387,2025-11-15,0
SG_000388,2026-02-16,0
SG_000389,2025-06-15,0
SG_000390,2026-02-13,0
SG_000391,2026-05-06,0
SG_000392,2025-12-29,0
SG_000393,2025-10-13,0
SG_000396,2025-08-12,0
SG_000399,2025-04-25,1
SG_000400,2025-03-06,0
SG_000403,2025-04-14,0
SG_000404,2025-02-27,0
SG_000405,2025-04-02,1
SG_000406,2026-09-08,0
SG_000407,2026-02-07,0
SG_000408,2026-03-03,1
SG_000409,2026-01-26,0
SG_000410,2025-07-27,0
SG_000411,2025-02-02,1
SG_000412,2025-08-21,0
SG_000413,2025-06-25,0
SG_000416,2025-04-19,0
SG_000417,2026-03-07,0
SG_000418,2026-09-01,0
SG_000421,2025-06-09,1
SG_000423,2025-09-12,0
SG_000424,2025-02-21,0
SG_000426,2025-12-06,0
SG_000427,2025-11-02,0
SG_000428,2025-03-25,0
SG_000429,2025-06-21,0
SG_000432,2025-07-18,0
SG_000433,2025-05-12,0
SG_000434,2025-02-08,1
SG_000437,2025-01-07,0
SG_000438,2025-04-15,0
SG_000439,2026-02-08,0
SG_000441,2026-09-14,0
SG_000442,2025-12-14,0
SG_000443,2026-03-10,0
SG_000445,2026-02-22,0
SG_000446,2026-01-13,0
SG_000447,2025-08-12,0
SG_000448,2025-11-21,1
SG_000449,2025-07-03,0
SG_000451,2026-04-12,1
SG_000453,2026-11-10,0
SG_000455,2025-10-29,0
SG_000456,2026-03-10,1
SG_000457,2025-11-08,0
SG_000458,2026-11-14,1
SG_000459,2025-12-23,0
SG_000461,2025-11-16,0
SG_000463,2026-11-10,0
SG_000464,2025-09-07,0
SG_000465,2026-01-18,0
SG_000466,2025-03-25,1
SG_000467,2026-07-12,0
SG_000468,2025-07-01,1
SG_000469,2026-12-06,0
SG_000470,2026-03-26,1
SG_000472,2025-09-18,0
SG_000473,2025-12-26,0
SG_000477,2025-07-03,0
SG_000478,2025-11-11,0
SG_000479,2025-09-02,0
SG_000481,2025-10-21,0
SG_000483,2026-11-26,0
SG_000485,2026-03-31,0
SG_000486,2025-09-24,0
SG_000489,2025-11-12,0
SG_000490,2026-02-14,0
SG_000491,2025-04-06,0
SG_000492,2025-09-26,0
SG_000493,2025-10-27,0
SG_000495,2026-04-17,0
SG_000499,2025-08-26,0
SG_000500,2026-01-07,0
SG_000502,2025-09-30,0
SG_000503,2026-10-11,0
SG_000504,2025-11-09,0
SG_000505,2025-08-04,1
SG_000507,2025-06-01,0
SG_000508,2026-05-13,0
SG_000509,2025-03-20,1
SG_000510,2025-07-18,0
SG_000512,2025-11-02,0
SG_000514,2025-07-24,0
SG_000515,2025-04-22,1
SG_000516,2025-10-02,0
SG_000517,2026-03-05,0
SG_000518,2026-08-12,0
SG_000519,2026-08-13,0
SG_000520,2025-11-15,0
SG_000521,2025-05-15,0
SG_000522,2026-03-18,0
SG_000523,2025-01-21,0
SG_000525,2025-01-26,0
SG_000528,2025-02-11,1
SG_000529,2026-06-03,0
SG_000531,2026-04-25,0
SG_000532,2025-11-17,0
SG_000533,2025-03-18,1
SG_000534,2025-07-01,1
SG_000537,2025-02-05,1
SG_000538,2026-05-02,0
SG_000539,2025-12-06,0
SG_000540,2025-09-19,0
SG_000541,2025-07-29,0
SG_000542,2026-02-27,1
SG_000543,2025-10-08,1
SG_000544,2025-11-27,0
SG_000545,2025-09-27,0
SG_000546,2025-01-28,0
SG_000547,2025-04-07,1
SG_000548,2026-10-17,0
SG_000549,2025-07-03,0
SG_000550,2025-11-04,0
SG_000552,2026-04-02,0
SG_000553,2026-01-05,0
SG_000554,2025-12-18,0
SG_000555,2025-10-06,0
SG_000556,2025-10-20,0
SG_000557,2026-11-12,0
SG_000558,2025-03-09,1
SG_000559,2025-05-24,0
SG_000560,2025-08-18,0
SG_000562,2026-08-15,0
SG_000564,2026-01-11,0
SG_000565,2025-11-01,0
SG_000566,2025-07-14,0
SG_000568,2025-03-06,0
SG_000569,2026-07-10,0
SG_000570,2025-10-24,0
SG_000571,2025-03-12,0
SG_000573,2026-10-14,1
SG_000574,2025-05-21,0
SG_000575,2026-01-25,0
SG_000576,2026-05-27,0
SG_000577,2025-05-25,0
SG_000578,2026-03-21,0
SG_000579,2025-09-30,0
SG_000581,2026-07-04,0
SG_000582,2026-06-07,0
SG_000584,2026-04-10,0
SG_000586,2026-10-15,0
SG_000587,2025-08-29,0
SG_000589,2026-02-26,0
SG_000590,2025-07-10,0
SG_000592,2026-01-15,1
SG_000595,2025-09-10,0
SG_000596,2025-12-18,0
SG_000597,2026-08-02,0
SG_000599,2026-12-15,0
SG_000600,2026-03-10,0
SG_000601,2026-02-26,0
SG_000602,2026-02-19,0
SG_000604,2025-01-19,0
SG_000605,2026-06-18,0
SG_000606,2025-07-28,0
SG_000607,2026-05-09,0
SG_000608,2025-10-04,0
SG_000609,2025-09-09,1
SG_000611,2025-07-14,0
SG_000612,2025-07-06,0
SG_000613,2025-01-01,0
SG_000618,2025-06-25,0
SG_000620,2025-02-08,0
SG_000622,2026-02-06,0
SG_000623,2026-10-01,0
SG_000624,2026-05-13,0
SG_000625,2025-06-22,0
SG_000626,2025-08-13,0
SG_000627,2025-03-02,0
SG_000628,2025-11-05,0
SG_000630,2026-01-05,0
SG_000631,2025-11-05,0
SG_000632,2026-01-30,0
SG_000635,2025-12-18,0
SG_000636,2025-07-23,1
SG_000637,2026-08-14,0
SG_000639,2025-01-17,0
SG_000641,2026-03-12,0
SG_000642,2026-05-20,0
SG_000644,2026-11-17,1
SG_000645,2026-02-17,0
SG_000647,2026-10-21,0
SG_000649,2026-02-15,0
SG_000650,2025-07-04,0
SG_000651,2026-02-12,0
SG_000652,2025-11-22,0
SG_000653,2025-11-14,0
SG_000654,2026-03-31,0
SG_000655,2026-06-14,0
SG_000656,2025-11-03,0
SG_000658,2025-04-04,0
SG_000659,2026-02-08,0
SG_000660,2025-06-06,0
SG_000661,2025-07-04,0
SG_000663,2026-10-09,1
SG_000664,2025-09-08,1
SG_000667,2026-06-03,1
SG_000668,2026-04-08,0
SG_000669,2025-05-16,0
SG_000670,2025-03-07,0
SG_000671,2025-11-19,0
SG_000673,2026-07-30,1
SG_000675,2026-03-29,1
SG_000676,2025-08-23,0
SG_000680,2026-02-06,0
SG_000681,2026-03-19,1
SG_000682,2025-08-26,0
SG_000683,2025-08-12,0
SG_000684,2025-07-25,0
SG_000685,2025-11-09,0
SG_000686,2025-07-29,0
SG_000687,2026-01-22,0
SG_000688,2025-11-06,0
SG_000689,2025-03-09,0
SG_000690,2025-08-06,0
SG_000694,2025-12-03,0
SG_000697,2025-07-22,1
SG_000699,2025-08-08,1
SG_000700,2025-06-26,0
SG_000701,2026-10-29,0
SG_000702,2026-11-17,0
SG_000703,2025-07-20,0
SG_000704,2025-10-11,0
SG_000705,2026-03-15,0
SG_000707,2025-12-20,0
SG_000708,2025-03-02,0
SG_000710,2025-10-15,0
SG_000711,2025-05-05,0
SG_000712,2025-09-02,0
SG_000714,2026-05-03,0
SG_000715,2025-11-22,0
SG_000718,2026-01-24,0
SG_000720,2026-04-04,0
SG_000721,2026-03-26,0
SG_000723,2025-06-26,0
SG_000724,2026-08-10,0
SG_000725,2025-07-28,0
SG_000726,2026-01-21,0
SG_000728,2026-09-15,0
SG_000729,2025-01-14,0
SG_000730,2025-03-06,0
SG_000731,2026-05-23,1
SG_000732,2026-07-04,0
SG_000733,2026-04-03,1
SG_000735,2025-05-25,1
SG_000736,2025-06-29,0
SG_000738,2025-01-21,0
SG_000740,2026-02-14,0
SG_000741,2025-12-21,0
SG_000744,2025-09-14,0
SG_000745,2025-01-10,0
SG_000746,2025-06-21,0
SG_000747,2026-08-04,1
SG_000748,2026-09-01,0
SG_000749,2025-03-29,1
SG_000752,2026-04-18,0
SG_000753,2026-01-05,0
SG_000754,2025-02-14,0
SG_000755,2025-05-31,0
SG_000756,2025-03-10,0
SG_000757,2025-05-28,0
SG_000758,2025-11-12,0
SG_000760,2026-12-02,0
SG_000761,2026-10-28,0
SG_000763,2025-06-28,0
SG_000765,2026-02-22,0
SG_000766,2025-07-08,0
SG_000767,2026-02-25,0
SG_000771,2025-07-22,0
SG_000772,2025-01-31,0
SG_000773,2026-12-17,0
SG_000774,2025-08-12,0
SG_000775,2026-02-08,0
SG_000776,2026-08-06,0
SG_000777,2025-11-08,0
SG_000778,2025-03-23,0
SG_000779,2025-11-24,0
SG_000780,2025-08-29,0
SG_000781,2026-03-12,0
SG_000782,2026-04-15,1
SG_000783,2026-02-26,0
SG_000784,2026-02-11,0
SG_000785,2026-12-26,0
SG_000786,2025-03-25,0
SG_000787,2025-10-14,0
SG_000789,2025-10-13,0
SG_000791,2025-10-17,0
SG_000792,2025-06-21,0
SG_000793,2025-04-02,0
SG_000794,2025-12-16,1
SG_000795,2025-08-20,0
SG_000796,2026-07-07,0
SG_000800,2025-12-05,0
SG_000801,2025-11-25,0
SG_000804,2025-05-30,0
SG_000805,2025-03-31,0
SG_000806,2025-11-04,0
SG_000807,2025-09-13,0
SG_000808,2026-01-30,1
SG_000810,2025-12-29,0
SG_000813,2025-08-19,0
SG_000814,2026-06-21,0
SG_000815,2025-11-29,0
SG_000818,2025-10-18,0
SG_000819,2026-01-30,0
SG_000822,2025-09-12,0
SG_000823,2025-07-01,0
SG_000824,2026-08-18,0
SG_000825,2025-05-15,0
SG_000827,2025-08-12,0
SG_000828,2025-12-14,0
SG_000829,2026-07-31,0
SG_000830,2025-09-07,1
SG_000831,2025-10-24,1
SG_000832,2025-01-24,1
SG_000833,2025-06-06,0
SG_000834,2026-06-01,0
SG_000835,2026-08-05,0
SG_000836,2026-03-16,0
SG_000837,2025-07-29,1
SG_000838,2026-11-02,0
SG_000839,2026-02-25,0
SG_000841,2026-09-09,0
SG_000842,2025-05-22,0
SG_000843,2025-11-06,0
SG_000844,2026-01-03,0
SG_000845,2025-06-03,0
SG_000846,2025-11-27,0
SG_000847,2025-11-20,1
SG_000848,2026-07-22,0
SG_000850,2026-02-26,0
SG_000852,2025-09-22,0
SG_000853,2025-04-02,0
SG_000854,2025-06-28,0
SG_000855,2026-11-10,0
SG_000858,2025-03-17,0
SG_000859,2025-09-08,0
SG_000860,2025-06-07,0
SG_000861,2025-05-27,0
SG_000862,2026-02-14,0
SG_000863,2025-10-03,0
SG_000866,2025-04-05,0
SG_000867,2026-01-06,0
SG_000868,2025-11-14,0
SG_000869,2025-12-28,1
SG_000870,2026-07-27,0
SG_000871,2025-05-17,0
SG_000872,2025-06-23,0
SG_000873,2026-01-28,1
SG_000874,2025-12-02,0
SG_000876,2026-01-25,0
SG_000877,2025-02-10,0
SG_000878,2025-05-25,0
SG_000879,2026-03-15,0
SG_000880,2025-08-28,0
SG_000881,2026-03-19,0
SG_000882,2026-06-29,1
SG_000884,2025-01-10,0
SG_000885,2025-12-18,1
SG_000886,2026-03-19,0
SG_000887,2026-03-25,0
SG_000892,2026-05-17,0
SG_000893,2026-06-09,0
SG_000894,2026-01-18,0
SG_000895,2025-10-24,0
SG_000896,2026-04-07,0
SG_000897,2025-10-30,0
SG_000898,2026-06-02,0
SG_000899,2025-10-21,1
SG_000900,2026-06-18,1
SG_000901,2025-12-15,0
SG_000902,2026-12-30,0
SG_000904,2025-07-02,0
SG_000905,2025-03-28,0
SG_000906,2025-03-29,0
SG_000908,2025-09-12,1
SG_000914,2025-01-01,0
SG_000915,2026-05-14,0
SG_000916,2025-09-05,1
SG_000918,2025-02-16,0
SG_000919,2025-10-05,0
SG_000921,2026-04-28,0
SG_000922,2025-10-31,0
SG_000923,2026-12-08,0
SG_000924,2026-12-27,0
SG_000925,2026-08-30,0
SG_000926,2026-05-20,0
SG_000927,2025-02-14,0
SG_000929,2025-12-25,0
SG_000930,2026-12-27,0
SG_000931,2025-04-30,0
SG_000932,2026-04-21,0
SG_000933,2025-02-09,0
SG_000936,2025-08-01,0
SG_000937,2026-03-19,0
SG_000939,2025-02-12,0
SG_000941,2025-04-13,0
SG_000942,2026-06-22,0
SG_000944,2026-03-11,0
SG_000947,2025-08-20,1
SG_000949,2026-03-24,0
SG_000951,2025-09-24,0
SG_000952,2025-08-03,1
SG_000953,2026-05-06,0
SG_000955,2026-01-21,0
SG_000956,2025-09-09,0
SG_000957,2025-01-10,0
SG_000958,2026-06-02,0
SG_000960,2025-02-23,0
SG_000961,2025-10-15,0
SG_000962,2026-05-05,1
SG_000964,2026-06-26,0
SG_000966,2026-08-19,0
SG_000967,2026-05-17,0
SG_000969,2026-02-19,0
SG_000971,2025-08-14,0
SG_000972,2026-03-10,0
SG_000974,2026-05-15,0
SG_000976,2025-05-08,1
SG_000978,2026-01-06,0
SG_000979,2025-01-20,0
SG_000982,2026-02-03,0
SG_000983,2025-07-04,0
SG_000984,2026-12-03,0
SG_000986,2025-05-06,0
SG_000989,2025-08-23,0
SG_000992,2025-01-31,0
SG_000993,2026-01-20,0
SG_000994,2025-06-15,0
SG_000995,2025-11-16,0
SG_000996,2025-07-24,0
SG_000997,2026-03-15,0
SG_000998,2026-02-05,0
SG_000999,2025-12-15,0
SG_001000,2026-05-02,0
SG_001001,2026-12-15,1
SG_001003,2026-02-18,0
SG_001005,2025-11-12,0
SG_001006,2026-11-17,0
SG_001007,2025-10-25,1
SG_001008,2025-04-28,0
SG_001011,2026-09-15,0
SG_001012,2026-01-08,1
SG_001013,2025-10-27,0
SG_001015,2025-08-04,1
SG_001016,2026-11-17,0
SG_001017,2026-11-26,0
SG_001018,2026-09-28,0
SG_001019,2025-12-10,0
SG_001020,2026-04-07,0
SG_001021,2025-09-11,0
SG_001022,2026-03-08,0
SG_001024,2026-11-15,0
SG_001025,2026-01-21,0
SG_001026,2026-01-03,0
SG_001029,2026-01-03,0
SG_001033,2026-04-24,0
SG_001034,2026-07-05,0
SG_001035,2025-11-26,1
SG_001036,2026-01-28,0
SG_001037,2025-05-07,0
SG_001038,2026-12-25,1
SG_001039,2026-08-27,0
SG_001040,2025-08-02,0
SG_001041,2026-12-22,1
SG_001043,2025-11-19,1
SG_001044,2025-02-23,0
SG_001045,2026-01-03,0
SG_001046,2025-10-12,0
SG_001047,2025-05-19,1
SG_001050,2025-03-27,0
SG_001051,2025-09-14,0
SG_001053,2026-03-29,0
SG_001054,2025-07-08,0
SG_001055,2025-01-18,0
SG_001056,2026-09-15,0
SG_001057,2026-01-14,0
SG_001059,2026-01-30,0
SG_001061,2026-02-15,0
SG_001062,2025-08-18,0
SG_001063,2025-01-09,0
SG_001064,2025-06-11,0
SG_001065,2026-03-26,0
SG_001068,2026-04-01,0
SG_001069,2025-06-19,0
SG_001072,2026-02-20,0
SG_001073,2025-08-03,1
SG_001074,2025-05-10,0
SG_001077,2026-10-02,0
SG_001079,2026-09-07,0
SG_001080,2026-09-16,0
SG_001082,2026-05-11,0
SG_001083,2025-02-20,0
SG_001084,2026-12-29,1
SG_001087,2025-10-15,0
SG_001088,2026-05-09,0
SG_001089,2025-12-07,0
SG_001090,2025-02-21,0
SG_001091,2026-01-17,1
SG_001092,2026-02-20,0
SG_001093,2025-07-22,1
SG_001094,2026-06-17,0
SG_001095,2026-08-18,0
SG_001096,2026-11-28,0
SG_001097,2026-03-15,0
SG_001098,2025-04-11,1
SG_001099,2026-08-12,0
SG_001103,2026-01-19,0
SG_001104,2026-02-05,0
SG_001105,2026-09-23,0
SG_001110,2025-10-17,0
SG_001112,2026-03-01,0
SG_001113,2026-01-08,0
SG_001114,2025-07-13,1
SG_001115,2026-04-25,0
SG_001116,2026-01-09,0
SG_001118,2025-01-05,1
SG_001119,2025-09-23,0
SG_001120,2025-11-24,0
SG_001122,2026-05-18,1
SG_001124,2025-04-25,0
SG_001127,2026-02-04,0
SG_001129,2025-11-19,0
SG_001130,2025-10-11,0
SG_001131,2025-03-09,0
SG_001132,2025-07-20,0
SG_001134,2025-06-13,0
SG_001136,2026-11-22,0
SG_001137,2025-04-20,0
SG_001138,2026-08-30,0
SG_001139,2025-04-28,1
SG_001140,2026-11-30,0
SG_001141,2026-02-08,0
SG_001142,2026-02-03,0
SG_001144,2025-11-22,0
SG_001145,2025-03-10,0
SG_001146,2026-06-12,0
SG_001147,2026-03-30,0
SG_001148,2025-06-08,0
SG_001149,2026-04-01,1
SG_001150,2025-01-04,0
SG_001151,2026-04-02,0
SG_001152,2025-05-24,0
SG_001154,2026-12-09,1
SG_001156,2026-04-07,0
SG_001158,2025-04-21,1
SG_001160,2025-05-18,0
SG_001162,2026-03-06,0
SG_001164,2025-11-06,0
SG_001165,2026-06-22,0
SG_001166,2026-03-19,0
SG_001168,2026-05-27,0
SG_001169,2026-02-03,0
SG_001170,2025-08-01,0
SG_001171,2025-03-17,0
SG_001172,2026-09-18,0
SG_001173,2026-03-26,0
SG_001174,2026-07-03,1
SG_001175,2025-11-08,0
SG_001176,2026-02-19,0
SG_001177,2025-11-03,1
SG_001178,2026-11-21,0
SG_001179,2026-09-18,0
SG_001183,2025-12-25,0
SG_001185,2026-08-09,1
SG_001186,2026-07-01,0
SG_001187,2025-06-08,0
SG_001189,2025-10-29,0
SG_001191,2025-12-18,1
SG_001193,2025-10-06,0
SG_001194,2026-08-19,0
SG_001195,2025-06-03,0
SG_001197,2025-09-17,0
SG_001198,2025-10-27,0
SG_001199,2026-07-30,1
SG_001200,2025-11-21,1
SG_001204,2025-04-26,1
SG_001206,2026-05-25,1
SG_001207,2026-06-04,0
SG_001209,2025-02-23,0
SG_001212,2026-09-07,0
SG_001214,2026-05-13,1
SG_001216,2026-11-17,0
SG_001218,2026-09-03,0
SG_001219,2026-06-06,0
SG_001220,2025-10-26,1
SG_001221,2025-01-12,0
SG_001222,2026-07-11,1
SG_001223,2026-02-21,0
SG_001224,2026-07-04,0
SG_001227,2026-03-08,0
SG_001228,2025-04-24,0
SG_001231,2025-04-27,0
SG_001232,2026-12-15,0
SG_001233,2025-10-19,1
SG_001234,2025-10-11,0
SG_001235,2026-11-21,1
SG_001238,2025-08-08,0
SG_001239,2026-09-06,0
SG_001240,2025-04-11,0
SG_001241,2026-05-02,0
SG_001242,2026-01-04,0
SG_001244,2026-02-20,0
SG_001246,2026-12-19,0
SG_001247,2026-05-11,0
SG_001249,2025-10-05,0
SG_001250,2025-07-27,0
SG_001251,2026-03-03,0
SG_001253,2026-01-04,1
SG_001254,2026-04-30,0
SG_001256,2026-09-26,0
SG_001258,2025-10-09,1
SG_001259,2025-12-16,0
SG_001260,2025-03-20,0
SG_001261,2025-12-04,0
SG_001263,2025-11-04,0
SG_001265,2025-05-25,0
SG_001266,2026-02-28,1
SG_001268,2025-02-09,0
SG_001269,2025-03-31,0
SG_001270,2025-12-28,0
SG_001271,2025-01-09,0
SG_001272,2025-08-02,0
SG_001273,2025-09-13,0
SG_001274,2026-06-19,0
SG_001275,2026-05-06,0
SG_001276,2026-01-15,0
SG_001277,2025-06-24,0
SG_001278,2025-03-08,0
SG_001280,2025-07-08,0
SG_001281,2026-01-24,0
SG_001282,2025-08-29,0
SG_001283,2026-04-16,1
SG_001284,2025-10-10,0
SG_001286,2025-08-10,0
SG_001288,2025-11-05,0
SG_001289,2026-12-17,0
SG_001290,2025-06-23,0
SG_001291,2025-11-20,0
SG_001292,2026-03-30,0
SG_001294,2026-02-18,0
SG_001295,2025-10-26,1
SG_001297,2026-06-18,0
SG_001299,2026-03-25,0
SG_001300,2026-10-02,0
SG_001301,2026-04-22,0
SG_001302,2025-05-31,1
SG_001304,2025-12-13,0
SG_001307,2025-08-15,1
SG_001308,2026-05-10,0
SG_001310,2025-03-13,0
SG_001311,2025-10-04,1
